""	"QC1_001"	"HU_neg_017"	"HU_neg_018"	"HU_neg_020"	"HU_neg_021"	"HU_neg_027"	"HU_neg_028"	"HU_neg_032"	"HU_neg_034"	"QC1_002"	"HU_neg_037"	"HU_neg_041"	"HU_neg_043"	"HU_neg_044"	"HU_neg_047"	"HU_neg_048"	"QC1_003"	"HU_neg_049"	"HU_neg_050"	"HU_neg_051"	"HU_neg_052"	"HU_neg_055"	"HU_neg_060"	"HU_neg_061"	"QC1_004"	"HU_neg_064"	"HU_neg_065"	"HU_neg_066"	"HU_neg_068"	"HU_neg_072"	"HU_neg_077"	"HU_neg_078"	"QC1_005"	"HU_neg_079"	"HU_neg_083"	"HU_neg_086"	"HU_neg_088"	"HU_neg_089"	"HU_neg_090"	"HU_neg_091"	"HU_neg_093"	"HU_neg_094"	"QC1_006"	"HU_neg_099"	"HU_neg_100"	"HU_neg_101"	"HU_neg_105"	"HU_neg_107"	"HU_neg_108"	"HU_neg_109"	"HU_neg_110"	"QC1_007"	"HU_neg_116"	"HU_neg_118"	"HU_neg_123"	"HU_neg_125"	"HU_neg_126"	"HU_neg_127"	"QC1_008"	"HU_neg_130"	"HU_neg_131"	"HU_neg_132"	"HU_neg_133"	"HU_neg_134"	"HU_neg_138"	"QC1_009"	"HU_neg_144"	"HU_neg_148"	"HU_neg_149"	"HU_neg_150"	"QC1_010"	"HU_neg_152"	"HU_neg_154"	"HU_neg_156"	"HU_neg_157"	"HU_neg_158"	"HU_neg_163"	"HU_neg_170"	"HU_neg_171"	"QC1_011"	"HU_neg_172"	"HU_neg_173"	"HU_neg_174"	"HU_neg_175"	"HU_neg_179"	"HU_neg_180"	"HU_neg_181"	"HU_neg_182"	"QC1_012"	"HU_neg_184"	"HU_neg_185"	"HU_neg_186"	"HU_neg_189"	"HU_neg_192"	"HU_neg_196"	"QC1_013"	"HU_neg_200"	"HU_neg_201"	"HU_neg_202"	"HU_neg_204"	"HU_neg_207"	"HU_neg_208"	"HU_neg_209"	"QC1_014"	"QC1_001_b2"	"HU_neg_022_b2"	"HU_neg_076_b2"	"HU_neg_166_b2"	"HU_neg_114_b2"	"HU_neg_190_b2"	"HU_neg_139_b2"	"HU_neg_096_b2"	"HU_neg_058_b2"	"HU_neg_031_b2"	"QC1_002_b2"	"HU_neg_039_b2"	"HU_neg_087_b2"	"HU_neg_143_b2"	"HU_neg_162_b2"	"HU_neg_102_b2"	"HU_neg_188_b2"	"HU_neg_095_b2"	"HU_neg_062_b2"	"QC1_003_b2"	"HU_neg_063_b2"	"HU_neg_011_b2"	"HU_neg_074_b2"	"HU_neg_122_b2"	"HU_neg_142_b2"	"HU_neg_030_b2"	"HU_neg_187_b2"	"HU_neg_167_b2"	"HU_neg_113_b2"	"QC1_004_b2"	"HU_neg_081_b2"	"HU_neg_014_b2"	"HU_neg_206_b2"	"HU_neg_119_b2"	"HU_neg_033_b2"	"HU_neg_067_b2"	"HU_neg_140_b2"	"HU_neg_164_b2"	"HU_neg_193_b2"	"HU_neg_112_b2"	"QC1_005_b2"	"HU_neg_097_b2"	"HU_neg_056_b2"	"HU_neg_195_b2"	"HU_neg_135_b2"	"HU_neg_159_b2"	"HU_neg_070_b2"	"HU_neg_038_b2"	"HU_neg_026_b2"	"QC1_006_b2"	"HU_neg_098_b2"	"HU_neg_115_b2"	"HU_neg_137_b2"	"HU_neg_019_b2"	"HU_neg_073_b2"	"HU_neg_168_b2"	"HU_neg_191_b2"	"HU_neg_040_b2"	"HU_neg_046_b2"	"QC1_007_b2"	"HU_neg_103_b2"	"HU_neg_015_b2"	"HU_neg_053_b2"	"HU_neg_121_b2"	"HU_neg_183_b2"	"HU_neg_199_b2"	"HU_neg_042_b2"	"HU_neg_075_b2"	"QC1_008_b2"	"HU_neg_203_b2"	"HU_neg_024_b2"	"HU_neg_082_b2"	"HU_neg_169_b2"	"HU_neg_129_b2"	"HU_neg_057_b2"	"HU_neg_035_b2"	"HU_neg_194_b2"	"HU_neg_145_b2"	"QC1_009_b2"	"HU_neg_177_b2"	"HU_neg_025_b2"	"HU_neg_080_b2"	"HU_neg_117_b2"	"HU_neg_136_b2"	"HU_neg_197_b2"	"HU_neg_036_b2"	"HU_neg_054_b2"	"HU_neg_085_b2"	"QC1_010_b2"	"HU_neg_160_b2"	"HU_neg_092_b2"	"HU_neg_023_b2"	"HU_neg_124_b2"	"HU_neg_147_b2"	"HU_neg_205_b2"	"HU_neg_084_b2"	"HU_neg_120_b2"	"HU_neg_198_b2"	"QC1_011_b2"	"HU_neg_045_b2"	"HU_neg_029_b2"	"HU_neg_069_b2"	"HU_neg_155_b2"	"HU_neg_106_b2"	"HU_neg_146_b2"	"QC1_012_b2"
"Hexanoylglycine"	1025271	218273	1928010	213929	637846	149114	2710745	1209550	379964	1031153	1664396	109573	529969	47651	249878	1148815	948937	385247	1042833	43020	419554	356518	684970	481521	958896	324507	1035461	1288101	1853200	935072	1832472	577979	978972	669508	621723	4902848	3907978	1079060	1126202	452944	34391	282604	954309	1255037	1159593	534510	1471634	451843	40214	75230	283252	894903	726537	525313	635747	1003447	850122	516577	790209	363380	272526	476425	2000161	745441	3271113	739361	623780	562920	1025781	74812	720891	1870892	319792	149623	559264	151855	436528	1128772	315653	789372	1074629	90449	370168	794186	683078	599983	102770	244898	589361	671286	57708	85665	387047	285496	1914641	628382	416194	490544	150633	742988	888438	106340	643315	465479	1526791	555748	916611	1220978	1871807	8737914	1546571	607.5	466169	551255	1669486	1143360	1688495	476686	2736861	2216231	206411	823106	1864574	1662357	1272281	412618	701187	2770479	1646403	719781	101548	222143	1614299	1573106	3803108	797973	4077432	2803754	4821260	825670	1226587	329474	761038	4644756	1582700	814722	2225754	354019	1060393	726780	1180674	41015	384083	1482465	1098758	843535	1906654	436589	738429	209861	446259	918204	510510	1381297	259755	897646	419652	150118	303345	734310	398249	234026	527055	215944	307321	1260935	283020	448044	516853	6135246	274580	1841654	909761	1851171	36277	171277	686014	139656	297116	599745	137869	227489	383833	919711	203688	292057	1019406	612265	567799	310838	407801	133766	515911	53787	326718	210434	241625	177702	127713	221252
"Hippuric acid"	170588605	82513780	106915869	106642615	98997927	96392807	224805711	101710239	109064408	159572334	19156165	64950116	123457728	74004419	114536570	180374718	152784985	88285634	244249594	80613367	258188095	59660333	172188795	87984680	147758875	73846363	224025814	106252379	144095744	128084106	149174378	347255256	139124086	93375780	223372887	294270298	111179915	72200041	79070433	143843241	171714438	128430864	138226076	117614329	159969939	52132481	186104653	44366556	33001422	109769667	76731373	124796700	66771005	102013765	131772375	142235326	153134254	154965223	111745562	107153459	52194610	316506359	88282965	167866183	109460993	101043532	54945440	40503653	71497570	13490380	106442245	74676571	41449617	116389344	109150196	80898326	191292391	64514747	62944702	89900736	46806464	83055332	86148895	43753771	26641823	107340749	37093933	59425753	82703816	22898425	39153206	37443365	52757029	66964368	58850522	71024879	50513639	48010167	59561059	141164546	47661671	44034584	22691143	64451625	223174462	202709360	165487570	215992039	176572621	133296159	159428605	5273412	132749509	160847805	205713176	252821794	127395486	159110267	578417834	152151968	104674927	128144177	78282786	195730630	345164436	186127684	151468410	265043100	191346222	163738463	92706862	124531021	173286047	193974153	148577979	89876059	203829700	329688562	274710784	71933424	43453078	310338277	81685094	169283201	178207841	191322115	152534621	141566446	204525677	119079373	213774532	65466674	118312604	173878494	199992654	205174401	140547071	143063626	97526352	70039307	128867525	182417632	133881850	166492959	160289219	101748028	47638574	54797314	119859091	177172698	193283492	158417760	182649066	110290148	110855292	148556488	67713431	242532765	192684202	156417373	265834868	156105213	156825467	125479633	136367542	293587123	192996295	105173512	114726747	211454341	168059673	127965675	144743221	143030064	210803125	93003936	140513090	84860294	102913618	141484072	164064021	191289622	130061810	58099893	112865796	98740991	169550555	207469502	108547536	125795711
"Hydroxybenzyl alcohol isomer"	372594	14881	380890	60816	257677	39872	173134	59788	145086	364296	75962	69696	366682	78730	209724	438919	409248	10226	327715	38761	467914	71150	741238	83172	468782	36335	534086	378017	502243	361793	166751	1159174	466334	137156	212092	434362	261142	378475	1043255	721154	149032	161276	536890	129055	551402	57921	672976	388406	31335	33928	127317	547494	934525	208312	394574	349105	747146	417572	611861	239621	490595	324178	276910	1481041	320972	590011	913467	436798	518808	120121	661853	797819	340045	93317	824366	242193	483452	491764	350395	625339	736275	201936	1315072	516252	369640	380034	113552	174707	597328	207685	42014	129881	535133	403106	982710	593221	458343	494613	303907	518993	250065	106370	911133	575142	660836	1119493	275774	426584	832185	311214	104081	607.5	151625	288148	709543	1114630	573926	634289	10639770	824445	46701	217224	355054	785671	4534207	647149	2358622	595686	1421884	274733	156272	284009	698400	776905	458289	80846	503590	810095	1917248	242749	165810	415266	577098	346163	811246	697357	207081	179543	674608	469053	1064151	157929	230753	915654	307490	355945	222089	407474	345704	427898	201500	234773	634859	907657	3785003	461552	336161	266670	816574	413779	1455484	1821069	966014	858944	236257	837492	250261	452472	312162	655073	568802	1122067	1045286	933095	735929	1235702	1157001	99089	692867	630321	1779918	640912	1079342	1186092	2679766	258903	1334923	2412659	639955	545860	1942515	521079	1126269	503022	702648	750300	677452	2206239	697417	1193794
"Hydroxyphenyllactic acid"	15495221	1776125	28698232	10740605	4492658	3349174	8456496	15481205	17131740	15157922	17588281	13442136	15383285	4745881	15491489	19738486	15204942	28876218	30233943	11277720	16626550	1322905	13256747	6344012	13524879	3043805	28761741	3868470	14701743	6820730	16908843	11910109	13513422	4439443	9138312	60315461	13496694	6077069	952165	13356736	23760858	11538100	13781210	4331271	15306747	1229846	11840608	2557571	878277	2572500	1719545	11938859	4880254	3170075	7931020	13477962	4862322	9946031	10432189	16790480	12369555	10024428	8036849	8062811	14770477	10116368	6286367	18308249	7093294	353107	8916944	4833065	1910045	4462519	6659193	4013410	7449149	17680638	10874615	8463031	6244053	10507770	4489362	1693001	2079977	9350503	942919	2296868	6699989	3218182	972834	6906239	3048522	5180644	6926259	6535847	4157685	2497581	2406557	16561122	4870894	3760431	9654320	5208087	26184630	17509898	25629348	3295681	16428082	6607397	8227791	26066	32893149	33615017	25852628	70456033	7680773	6706733	22595025	27503038	8290839	17170568	43456156	26320083	18111121	11562776	26536548	23102582	9009715	11192061	14175391	12048770	5451930	25291415	29339253	37437337	83355675	27371086	23389295	1514235	42040672	13881044	6834564	10579249	23944356	23284087	19846579	2938232	6671704	12149943	16152548	3278739	5945428	22561723	35615902	15949992	13898463	23299263	7517638	11533554	2618651	20684843	16333649	21317873	19412796	3236368	7795393	1933340	2878146	10900100	22535287	10667678	17744631	3238247	2787047	7226268	2211954	22842521	23926750	9267939	63747644	5336685	17490661	9405680	4566269	5559339	19753891	13485116	3658633	20686187	6959195	9192849	15516530	1913063	14462796	5221271	22396025	15512717	21325673	12518179	8010433	45846315	13796579	2918131	6251826	1966644	18054065	13157642	6616049	12936655
"Hydroxysuberic acid isomer 1"	249364	43932	382998	124269	185823	62975	215835	69602	220395	188619	60922	293112	106586	105853	226880	160957	234300	189620	194833	82359	245484	66859	286526	137138	178456	56181	252926	221006	321174	155183	171103	184262	162465	114266	150017	187732	306649	174532	94348	65658	34483	155659	213974	172470	320995	136205	102500	274888	40940	78736	45320	125230	284890	93248	97873	60455	151587	123585	155485	197080	82044	477140	169306	142687	171422	114207	110907	152241	99275	35723	155634	238105	46518	73035	136589	79152	21094	84423	78059	123778	109632	50527	95688	90953	124834	43637	27652	33701	133085	155041	35971	38641	112694	89769	146051	98341	68838	421416	110072	114267	84429	67486	844243	127061	386681	146686	169493	23277	914957	1690858	846279	18729	824068	434873	376906	436494	152653	189911	401740	1521835	163493	886119	359037	449968	823089	263559	306074	430728	495975	504919	104686	61786	1035938	369452	580795	77601	637392	657194	582096	411864	306352	113585	367600	523127	313521	181709	467357	381602	2912046	177553	469325	100993	198908	348645	273933	238649	278496	479246	550924	105524	663479	366398	348626	381210	346467	250867	297181	193963	78901	721769	607527	394377	352471	274173	294078	488514	163602	275453	193747	337356	348805	320766	320562	728627	1574680	190953	388278	86986	445749	312433	365231	331531	308820	241627	359517	228046	326328	588710	395514	167697	198070	221118	330859	153528	360738	186636	57693	229285	281200	299615
"Hydroxysuberic acid isomer 2"	160595	105428	295219	69121	314446	77746	432440	103383	194065	258415	107961	25280	185854	51417	77727	180294	214255	80752	218828	18269	131381	103284	179685	108315	175528	85457	227904	432505	154898	178657	240651	158165	182076	217648	134154	233143	382344	452488	174887	133128	94526	133610	231277	283425	246603	322410	137590	278922	51166	60367	63122	160994	124847	107766	108534	143803	91384	170174	190866	92182	81843	152570	444515	126603	621851	111867	325680	59895	231014	15666	160234	199789	100533	51111	60485	46073	69319	62180	94207	142950	129322	50527	75262	192692	188135	52824	30474	55461	104196	42765	13106	35425	69730	123461	353751	117088	21673	135467	48123	81627	37120	33444	50235	79258	197955	267570	19868	50090	894346	4267364	804712	23168	224867	531977	306889	245377	474745	163312	218243	100955	90838	713831	555019	303324	647018	321131	26619	597485	398956	366030	89360	83429	1059959	350873	698335	201937	557767	534706	527712	268352	139355	118772	274356	694234	376206	54977	342424	170076	595226	96936	20308	51423	227452	321265	195059	460715	537026	197130	305221	161862	489780	305011	215616	374205	180915	191685	100478	137935	191145	643490	96817	223940	277863	230844	166367	412687	55618	149924	92727	399066	62832	907233	183700	859809	157139	123660	284947	16772	180251	205813	16374	179993	169995	428839	84100	158243	16153	366185	353891	69942	132201	105130	185881	66900	210394	252348	21346	95995	221633	214115
"Isovalerylalanine isomer"	302938	129563	760500	69541	335739	99401	380556	515757	116086	296814	219445	117450	174081	15047	48170	289870	291014	197610	321028	71635	174560	144594	222801	387111	277004	167178	397538	476435	317783	298014	315155	128472	257347	132286	184061	1630916	675678	204109	494847	94580	32122	180100	267093	551648	137044	183720	233008	223288	23326	33661	80716	226724	90113	108649	231941	151206	179940	211616	177887	196487	178919	312925	589183	212171	622992	175943	192205	209630	265669	27122	154801	414032	51931	60284	164920	81843	125469	306733	61591	117862	88420	38458	127538	926701	189173	89612	33539	55652	107437	246815	20678	28296	72110	94194	209903	89258	71749	118896	52415	94998	402284	46683	159734	68124	154699	79600	120867	412268	522717	811883	355745	607.5	135835	778367	307967	386561	524821	140346	426606	435918	145949	255660	575270	317304	385234	123808	494248	480600	504190	435505	50751	106086	298631	355367	832403	130909	602427	530904	599904	193907	190794	80252	150600	1485540	372807	136764	774425	102351	381014	250816	313558	26041	157460	317800	331135	226476	549528	140262	342336	53743	252911	311508	143559	298995	69455	347400	133692	133152	224748	224322	102698	198794	118087	67165	147071	211956	55599	111496	33762	350577	97084	52119	77740	138602	42635	45547	162706	31363	136071	455217	35885	166146	101754	116524	224216	29525	62313	214122	61220	162995	38275	57837	76076	13449	60292	13545	87397	132202	134335	115668
"Ketoleucine"	1531052	281487	878895	456811	1011355	216879	1015028	533165	323710	1478458	609777	244328	1049906	68185	264036	478884	1395554	775585	917635	1644815	572375	268538	1090060	413564	1671216	106414	1459279	586726	1062665	518790	771991	1480245	1629465	463164	1323203	2029217	896447	717474	1014707	1856833	389281	708437	1580543	1866041	1415122	261456	654897	381110	79349	131476	264512	1625623	577719	235875	1000850	674429	801362	719179	1440527	404811	550896	683648	1251011	1115992	1251945	1203943	958557	1001603	578502	140464	1159465	506916	593887	250370	351885	177615	1098520	426010	353064	1023058	352133	73113	395730	973140	962217	311398	54738	193779	911436	704310	76506	51148	977451	611586	585059	792644	420053	471880	585026	751709	145491	117009	540126	648995	2459235	349386	1185339	1547977	2538953	3913085	3153081	21023624	1467973	1988163	2940318	828677	1425908	886388	3228751	1010573	481661	1182481	1584697	2612482	1439515	453749	2030668	2184102	2322517	1240900	173214	24251	2344511	2794855	2896677	497484	2462854	1073618	1574076	1231447	1359906	704163	1964494	3603865	2610024	822566	702452	691609	2842043	519092	2950914	9024	569436	2471321	1484598	1147222	1916998	1022784	1434061	443415	782864	1322110	2036596	2361654	1170097	798390	547965	191524	182799	667660	1281233	1154001	1487135	808693	1062577	1638041	278010	1310029	1621043	1676466	1966015	562421	1664817	1236323	604224	973132	941359	149649	1047941	793317	998884	981629	1399842	1183725	611878	675897	732935	963100	983145	57648	549374	844883	1229691	263898	798484	575355	19852	340941	597964	1250969
"Kynurenic acid"	3587734	1555609	3489092	995850	2930901	723899	3148974	1715510	1116204	3392469	1578297	1346000	4523391	702424	1797212	3018253	3459768	5877053	3998006	447803	2917652	745417	5947997	2264215	3179794	760295	3279269	5364829	5649371	6326153	4419762	5919090	3119032	1963466	6077937	7614414	2447718	2442224	3098314	2947942	898248	3065495	3284481	2773090	3615565	1625343	1934894	4849841	659954	547265	892298	2946514	771663	1589217	4257439	2287730	4048121	3695383	2685081	3968445	2692754	4641070	2239933	3509840	2906456	2417033	3639925	2236094	2244790	764337	2244400	3159121	970903	762877	1388550	1533373	2489481	3200763	589507	2107554	1671662	250903	2098720	2480042	3722864	1701539	597762	874086	1680638	1384327	373676	503704	1480090	2843316	1967032	1478093	1412768	2676004	2071700	3629840	1076505	612975	3311000	1286693	5054570	3347726	3796135	6786327	4999303	9462418	9162898	607.5	5088412	2289070	5511387	5207001	6285137	4161582	4832437	8982370	1859365	8171502	9815936	5435964	6142005	2744346	7457214	9939020	10891937	4074879	1408863	1625771	9573650	5381151	6052096	1561823	7128388	1513158	12452286	5901187	4113978	3564041	7155260	7222883	5180160	5375053	2676228	4966808	6332850	2915790	3434880	732360	1304612	4758949	4543903	7089946	3544148	3966918	8360416	1864467	7057344	6867834	4775797	4390603	4472861	3349073	762048	1942877	2574099	4617635	3723420	5066831	3541366	3410856	2305788	3853412	1526075	2441736	6089838	4212247	5890199	5663947	3411598	2684002	3597551	6671971	3369609	719720	5923336	3126198	3933778	5978769	3123627	2305902	3860020	1696992	2696055	2042724	4319677	2185366	2145939	4339266	2791089	556408	2239705	3740887	867214	3052416	2399156	2505551
"Malic acid"	643089	102186	554729	198964	529892	168938	701162	350282	112959	621881	193976	166347	948101	124783	442399	737624	631176	740361	357916	1492090	363466	330472	745469	800936	520239	107020	926569	463881	1250401	402500	429956	325365	496290	283761	485062	606842	725295	322011	384893	1014757	299345	294968	472241	486834	513001	175822	299910	230028	75757	56626	259272	431118	108715	165820	370556	210955	217994	250247	389717	181894	188613	469716	257424	480021	447952	328933	323233	416466	567049	70378	312196	346248	130467	112245	178566	218085	537654	903688	174181	264290	314266	89711	320117	959693	285569	188444	34712	65047	210178	210236	66922	24078	351799	270737	352533	201417	88206	217418	183352	233990	155827	81537	188828	146783	714818	344782	265556	1150750	1123817	871338	642271	1070694	284857	832121	758029	795027	538577	245867	1957912	845676	734536	454955	621246	786492	1283240	128517	2996845	616421	469195	405622	204455	122144	934756	711020	1155983	218001	1879539	991164	1168143	375827	351875	533853	1055780	751843	749912	416971	394336	244000	572964	301170	644144	36219	401877	611603	565170	617688	398838	522279	253155	350859	285029	323545	678486	565881	297563	139280	281354	63168	360171	201300	252697	312384	354998	149873	87974	401037	139537	518411	250849	998350	406466	513267	336536	186924	112759	399695	228975	137029	223969	231967	362114	211756	212529	209394	103160	63310	300296	397965	184773	144947	440582	323910	268166	190689	125062	53110	251800	85665	67163	129358
"Methoxysalicylic acid isomer"	292987	142088	213727	78305	81740	170820	232214	172158	138457	246039	32878	38027	1233225	189592	120067	378169	281837	37292	263857	506.5	798492	49840	906224	167357	242040	36811	271783	185717	574345	28037	355803	2058704	277749	205128	452477	355736	969320	163760	229457	509222	156465	154044	239758	266933	247722	68906	185217	121250	10225	63903	128727	250207	136146	139693	397104	173673	350486	499268	226746	449935	743247	780408	232759	617195	117356	210933	3228842	138904	42934	281897	177246	286939	185393	40976	33510	37187	84606	239714	91015	160981	277715	116048	172630	26693	333366	50618	99922	90814	160750	14171	21240	175008	93532	93693	150424	156391	68694	48700	210017	44726	48673	32022	91888	140128	418931	907141	154193	139804	755235	196363	359741	2628	83374	18314	414990	507685	201233	265104	144528	274025	114611	520518	186113	405739	429169	234953	484713	734563	105100	33158	68694	528089	963780	437476	9888	134109	438424	31045	475004	2725717	156624	388847	167311	956195	381225	1039403	38880	285808	506005	494732	866141	98625	110548	385741	290495	26291	223719	596136	350153	152615	689731	27699	1311066	409302	344288	421428	87419	165829	425610	291519	164294	135861	388243	347193	534025	318837	217774	372336	671550	517638	186814	512321	362283	306696	448180	1169905	93676	50937	561354	212677	91652	181349	351474	99295	249982	964921	583523	93044	260750	508497	751495	315090	338483	39537	441879	235928	32609	1467396	271277	275280
"Methyl (hydroxymethyl)pyrrolidine-carboxylate/Methyl (hydroxy)piperidine-carboxylate"	1079432	415077	1297528	496083	915630	333733	1614193	522684	944549	885921	554751	352627	2679584	75740	440082	829856	876917	1458087	3665294	93638	301902	46154	1196190	222890	868498	146545	3291079	563270	2558947	2164490	1685263	3082266	787137	187311	941976	2552875	2193078	1426282	278274	1049309	350715	2537755	794065	341043	1244474	137084	218450	318631	118762	1046835	16383	644917	56835	243413	1455273	228394	867666	547657	605086	825175	227190	801783	689043	184431	1630781	605002	333211	303359	1546876	165464	600983	872983	166105	613203	401947	371270	359314	904042	69559	514973	715363	86179	464554	431237	417351	124251	185019	105655	397255	714574	95911	94171	360016	652952	763049	427646	266927	399235	1000763	196327	390431	120872	922228	362224	1902885	496378	716059	2014757	6186480	3048015	3059916	5017	1839206	4290260	1872227	1672106	1716188	1564861	697077	4714702	1319665	805050	3603528	1770069	1742361	688125	2690572	2666309	1422848	4277016	353042	342330	9317541	1644380	2381588	719802	3944241	427556	1909282	763063	3396628	1105541	834399	10102704	1641590	1105692	6046470	646936	1087335	1546881	1047298	31069	92722	1439004	1625382	2700108	3459233	995721	3514444	692301	1218161	2456372	1533228	1314367	850630	2409331	867887	834765	265589	2714328	1110508	1187741	1229386	919444	5443359	804746	178631	3613721	2587203	483643	2381282	502661	1112335	2678854	1868122	1774286	406938	238184	632971	2052268	1355285	1015709	919204	21508	1769938	654145	691093	1636694	2140449	334582	402632	1185378	902657	444646	1248007	531922	173266	508652	987033	840057
"Methylhippuric acid isomer"	335154	229516	8059	207996	107967	256178	75181	18558	194473	197118	506.5	228556	825968	455273	506.5	481846	172926	43548	688445	366769	142693	6694	267233	133580	145726	85303	322223	45028	18230	101723	506.5	1408308	107334	506.5	349919	85728	506.5	506.5	86450	156879	1770223	1215985	126125	617269	11094	53227	57996	38299	63153	273372	8304	150246	506.5	75779	127715	87285	506.5	227306	69156	987294	453663	1985723	506.5	172373	7148	156407	136353	96473	120068	38247	146401	4439	149323	2075553	13444	1344885	3058161	21068	679039	196757	506.5	729082	1134332	29677	85102	615895	56410	142784	279267	47342	437309	212113	108655	34765	506.5	269338	42190	99932	779128	76313	56225	219738	26681	303291	1417279	16851	468538	33460	163398	607.5	870047	607.5	607.5	607.5	114445	375296	39760	607.5	643699	40397	573464	55269	607.5	246366	316537	607.5	447844	164190	349979	1145432	674884	252325	48389	92285	15671	68790	607.5	99109	93118	65767	607.5	759971	23639	12172	193520	607.5	53087	629943	207776	21248	293234	172756	88678	167865	33623	384374	109209	171408	607.5	823894	758894	880446	61219	49625	171546	119079	526537	87067	1012860	516219	1154743	3579588	1594603	647943	880844	884917	127902	6049074	1056477	61158	12670167	607.5	1017956	229281	1078793	4993768	368992	562940	882984	1285361	1353073	1110910	1258375	1105402	2124216	248615	162982	761602	326165	854197	1792082	3937541	1107645	917309	468591	206700	1322194	1297044	961634	1104962
"Methylinosine"	135504	42107	193568	48132	104835	33354	136615	54406	59461	101800	72789	42275	189914	7051	48681	120942	133493	184191	111888	16598	45477	23610	105531	57947	123068	32606	153890	205109	283510	148595	153751	128663	125338	52665	147221	289350	190866	90495	96999	117191	31702	122310	118784	149355	212511	51749	98158	105685	8420	20209	44553	109258	51547	59879	86839	74746	132109	92828	98862	75375	79764	83798	91785	93050	158167	100906	101228	95438	148332	30034	86360	157861	59049	51061	66391	58257	48972	74118	40823	88062	36280	14858	40862	102524	95430	35000	11506	26678	84678	54479	24108	21326	179235	112433	102805	74029	57042	64778	88379	265529	41495	20361	105756	63910	196534	52484	114558	203907	281789	535231	290686	607.5	143883	98568	165434	157164	105333	72672	125934	98525	46964	189743	234439	191434	322394	80741	354216	253675	181677	174137	29724	607.5	223997	153471	327871	63939	268052	174786	122888	92704	168603	89121	173397	140050	148937	118194	104954	123093	227403	121910	116604	9866	93391	157684	137759	194435	174116	141950	107580	60295	153096	245029	129496	137369	128201	175227	607.5	42165	55127	142546	301327	144487	133367	106177	84180	114950	2980	116870	81686	100855	233086	267086	114314	164117	163184	245256	160017	28264	142238	121286	168202	180515	119477	27505	80454	56662	185960	138557	139162	28749	102017	102745	109830	20989	100115	79178	27362	68329	95149	98741
"Mevalonic acid isomer 1"	266610	3074	175506	13824	34897	3018	2804775	55822	26400	259200	2996	46420	107055	506.5	17890	65035	267979	6306255	8123221	80986	56804	506.5	3864036	24428	250558	15887	118439	306413	518076	31628	166351	84419	226265	53806	90724	283841	275695	54606	36956	176649	506.5	29769	228112	42583	34694	13541	15154	29746	14006	6794	4065	186927	235721	3796	1599267	17970	122144	110494	170911	20198	36750	459170	84865	22561	852023	205588	74238	104717	351002	2073	171718	22980	24633	23058	102683	13895	138885	32899	16744	137057	32300	36926	383712	20355	69141	19379	83021	1774	118458	30742	5673	5626	851506	320301	366324	99536	10489	109449	34760	44237	46763	6955	58022	85746	428222	607.5	607.5	188394	71453	134813	88317	607.5	161324	184882	545064	1682653	190163	376363	203336	317999	11667	105040	131847	487403	275324	45642	693109	439662	172684	123754	14525	607.5	134113	374470	384326	105059	273287	29122	607.5	87709	683931	21001	61513	285320	352171	225462	65578	116013	131269	40785	607.5	607.5	25030	343262	350166	375009	83098	183890	2539937	89026	76592	521609	478354	294135	170022	607.5	2842815	607.5	229035	59406	43092	101426	311119	85047	2235835	390350	34979	112520	76338	514042	252871	207872	285636	73595	37200	204243	50932	13062	119215	85634	128819	176950	282111	95930	45165	59222	43331	129054	146846	44885	11181	110978	228722	107897	82178	119160	17986	65710	39640	205869
"m-Hydroxyhippuric acid"	9802355	1585159	5819528	1490524	3005622	6180104	1841250	2855781	1884453	9008787	799604	2649031	5404886	856206	863190	4695404	7983007	2767383	5920782	171940	37882786	1344572	3437727	2207252	8239128	820717	6575827	5838692	4089335	2552739	4985801	3276795	8224840	3770035	5347610	14384345	4439825	1560510	1640699	3241618	2873093	1635417	7810834	2465676	1052291	547533	1420913	1788385	532093	866425	1587207	6479945	1756511	2038447	1053384	6135936	3010712	17961859	6159227	3391995	3242695	28477020	1070742	2430329	3277281	5131877	3219526	3853954	4537322	1234829	5573025	4989153	1228706	822774	2110639	1730544	4927358	6043987	800592	5379370	3079283	863269	1219366	1802694	892990	3729916	628875	985314	3904356	1159334	1505791	750086	2223760	2116361	2590556	3526639	1341658	2451754	2417024	1561994	955037	544575	1326858	3154246	6064668	5907763	4105905	4180940	1721090	7775199	1445921	607.5	6207902	10870368	13804359	8181232	11675667	5630266	17283699	6054182	3181566	3693226	6206527	14464755	12753877	8766091	71067798	10510997	4356838	4096921	2942199	1878282	12214722	13762948	11164139	5679303	6015537	21936001	7519619	23208343	6793879	2012021	5307148	8361804	13386307	11211184	4911115	3494622	12318223	5621551	2139928	1648731	2783712	12545950	5795594	5428893	5670511	6261084	6771653	1788054	6246185	5205581	5968101	13060019	4960528	12168481	899662	809171	1065528	201602	409844	763537	2056241	169371	404418	4246220	621951	1785475	93641670	6053930	1507991	2332987	3394917	909384	74820	259722	236245	239566	480557	2476391	931302	4601336	1714662	1434955	758965	50977504	848851	728566	5013897	531571	7329764	333982	1893408	292628	816340	3034379	764641	5121352	309225	1313775
