dataMatrix	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28
v81	28.77061228	28.45981343	28.64211429	28.47935658	28.75282907	28.63574081	28.23228507	28.6531265	28.67502031	28.60195312	28.65112868	28.74191501	28.48975954	28.25084327	28.50011562	28.67739631	28.65008265	28.46486777	28.66554162	28.30908161	28.43138665	28.64649356	28.50470214	28.46169638	28.34909437	28.76615592	28.4048461	28.64304387
v82	24.04500287	24.06972591	24.15247023	23.95050802	24.25431444	24.0792149	23.91560844	24.23915549	23.95180673	23.91342679	23.91480454	24.1801327	23.84720056	24.43833019	23.94018884	23.91732682	23.82298037	23.82529325	24.23353615	23.84623134	23.89519787	23.82330543	23.98624152	23.98214166	24.24687278	23.81056536	23.92971929	23.82139749
v83	24.96946188	24.86535297	25.00576468	25.1849522	25.18945586	25.17595532	25.23335154	25.39372012	25.12230415	25.13442005	25.41019383	25.64054515	25.04770439	24.57149366	25.62180462	24.94368452	25.26887163	25.59434454	25.89302595	25.37357769	25.44588074	25.0031847	25.14115091	25.27952869	25.51019939	24.89774623	25.38191677	24.95082106
v84	26.9399945	26.79233595	26.97358492	26.85320569	27.19362311	26.93784594	27.65662802	27.80886247	27.91952505	27.81914531	27.9259498	27.89226644	26.75290521	26.20658188	28.12163153	27.7373078	27.60871246	27.74174501	28.2192415	27.76023407	27.89282784	27.05075473	27.50770537	27.89099804	28.28096442	26.99921339	27.86347983	27.25871683
v85	29.3776105	29.2973322	29.44561026	29.69176907	29.56240047	29.46035528	28.98448469	28.63014123	28.39623305	28.59152235	28.75983974	28.74089719	29.13688757	29.03564854	29.06383134	29.59576261	29.76830853	28.95727938	29.06802691	28.99320135	29.005931	29.46840678	29.50448503	29.0602386	28.9640177	29.50194892	29.02533391	29.71494675
v86	27.53946827	27.63566277	27.67912461	27.25454873	27.60031357	27.40764328	28.01654784	28.27058905	27.94229426	27.94573217	28.04524157	28.18993915	27.69056233	27.66534535	28.25450634	27.9822739	27.85982726	27.9121054	28.19976025	27.85093964	27.98616989	27.42097907	27.76978529	28.05933522	28.24329894	27.7726592	28.1229902	27.38512447
v87	28.18703546	28.16310942	28.16444157	28.24859082	28.38745678	28.40311594	28.16038511	28.3334775	28.45654931	28.45505262	28.49646665	28.52386581	28.12126316	27.99739452	28.63341578	28.20787659	28.22846951	27.98679087	28.44683317	28.05156659	28.59654933	27.92241382	28.14643723	28.58260786	28.55321714	28.30453807	28.51812293	27.92052768
v88	27.37690515	27.47313507	27.32797689	27.52311276	27.22717538	27.41272838	27.30706681	27.41639604	27.50841343	27.39704891	27.4109043	27.42246622	27.40374268	27.15180797	27.59127214	27.47609661	27.41891985	27.72145835	27.72991475	27.75686993	27.62738437	27.50061142	27.45741808	27.54071728	27.53146237	27.35297757	27.51900509	27.76111028
v89	26.67526761	26.57352169	26.58448133	26.64892278	26.64805273	26.66140093	26.7840374	26.76926381	26.78216539	26.90818681	26.91597153	27.01241193	26.38581107	26.46731561	26.84783959	26.78433061	26.93614834	26.6825462	27.06986929	26.85802256	27.02384029	26.31756401	26.8482017	26.95994942	26.98584263	26.80961624	26.95560282	26.65213128
v90	28.72840976	28.39690079	28.51132546	27.85181775	28.45924712	28.68180889	28.81069087	28.7223872	28.83777526	28.68850666	29.02487926	29.10580559	28.33532806	28.53246806	28.84176492	28.73569226	28.63823615	27.6229177	28.52614769	27.93907079	28.90906007	27.83522352	28.33644636	28.94769481	28.92938755	28.90040564	28.93828839	27.66075314
v91	28.95534989	28.98604695	28.93660766	29.26850088	28.9315564	29.0817659	29.13616444	28.98648449	29.06485162	29.13560972	28.99906015	28.91328169	28.99144209	28.7304295	29.21092962	29.20823257	29.16075439	29.60532148	29.20796488	29.52537038	28.99050669	29.22423593	29.00459579	29.00418497	29.0107077	29.08335807	29.16135197	29.5013463
v92	28.31254191	28.32588295	28.40349462	28.36983813	28.5110799	28.19538738	28.3416061	28.54422267	28.54987901	28.50916127	28.50140936	28.50090082	28.56472214	28.55851519	28.53828675	28.55448311	28.45907097	28.6317902	28.43433731	28.61912247	28.43941724	28.5987771	28.53906294	28.49019585	28.49239991	28.50585564	28.51063175	28.6881915
v93	26.87830242	26.86021281	26.94189199	26.55647167	26.96189582	26.60928021	26.92615381	27.07185447	27.14099495	27.08102631	27.04396295	27.09511963	27.07556222	26.92241563	27.1210995	26.94216663	26.98370132	27.09636868	26.98671181	27.00830431	26.97353202	26.84288634	26.99574266	27.05589273	27.09998982	26.97299696	27.16084608	26.91659075
v94	28.29068094	28.17545864	28.36591443	28.2298779	28.3033188	28.21635644	28.36708476	28.31711115	28.42396466	28.37671588	28.42974092	28.52596365	28.253678	28.28096018	28.43529294	28.37494129	28.33639065	28.42167527	28.52514273	28.4790796	28.33910963	28.40714897	28.3555897	28.40382107	28.32763898	28.32078595	28.48791999	28.32178624
v95	31.15809035	31.18411729	31.18803007	31.25826482	31.10988436	31.19930945	31.39931196	31.41616999	31.2039709	31.14059655	31.13514124	31.27442366	31.10754228	31.23302877	31.24448912	31.19632341	31.27587584	31.0955971	31.18713728	30.98991451	31.26645501	31.20554763	31.21380834	31.11600297	31.11704902	31.15855268	31.15442289	31.22322502
v96	30.85974226	30.83935153	30.75869006	30.60948459	30.668999	30.95710231	30.31798513	30.27660139	30.48023058	30.40606497	30.45780293	30.60128816	30.68004225	30.82892808	30.29871832	30.7056385	30.92642893	30.25141711	30.40892896	30.16550202	30.36644642	30.49598393	30.63423043	30.36839216	30.27871771	30.76871266	30.49620903	30.48143485
v97	30.01319981	30.01308869	29.9491881	30.06180378	29.89849861	30.06424362	29.91480591	30.01221327	30.10783309	30.04132811	29.94735317	30.01807026	30.02864061	29.90604548	30.04396746	29.8835017	29.88629495	29.9733006	30.01854268	30.04625891	30.13484429	30.08550698	30.02134957	30.00802864	30.07422755	29.87487116	30.03803834	30.15461078
v98	28.729533	28.60940636	28.74059162	28.34093276	28.63567506	28.58790327	28.49398856	28.63892074	28.74251812	28.52184458	28.60939892	28.6564085	28.59790479	28.72274886	28.59468965	28.60605351	28.51956247	28.24669813	28.39825689	28.0958588	28.5555899	28.3547522	28.53318178	28.51983466	28.54361362	28.67473752	28.54773498	28.34558595
v99	29.38494655	29.37395385	29.39850299	29.41314871	29.36926865	29.48255281	29.38613667	29.36254638	29.30426971	29.21873911	29.40629624	29.38005013	29.29445024	29.26071772	29.4425067	29.31485634	29.27460039	29.34371503	29.39868173	29.36627752	29.35301554	29.33141368	29.27291663	29.37817008	29.23568778	29.25351196	29.38324839	29.23086481
v100	27.20172117	27.1528584	27.37238566	27.13077415	27.44795632	26.84780701	27.49921684	27.40630908	27.23592949	27.27971032	27.12809126	27.1618795	27.43011854	27.50170746	27.05504589	27.39562016	27.28427188	27.3659502	27.19221951	27.29871608	26.92241863	27.54358731	27.58494198	27.05654825	27.09190085	27.18361751	27.05479176	27.41525745
